Date,Store_ID,Product_ID,Product_Category,Sales,Stock,Price,Promotion,Holiday,Weather,Local_Event,Competitor_Price,Supplier_Lead_Time,Year,Month,Day,Day_of_Week,Weekend
2025-01-01,Store_4,P004,Grocery,197,21,129,No,No,Rainy,Yes,608,3,2025,1,1,2,0
2025-01-02,Store_5,P004,Personal Care,216,135,211,No,Yes,Rainy,Yes,485,1,2025,1,2,3,0
2025-01-03,Store_3,P005,Grocery,286,62,923,Yes,No,Sunny,Yes,682,2,2025,1,3,4,0
2025-01-04,Store_5,P008,Grocery,287,340,112,Yes,Yes,Rainy,No,465,6,2025,1,4,5,1
2025-01-05,Store_5,P005,Personal Care,93,398,881,Yes,Yes,Sunny,Yes,769,12,2025,1,5,6,1
2025-01-06,Store_2,P008,Personal Care,27,292,587,Yes,No,Hot,No,820,10,2025,1,6,0,0
2025-01-07,Store_3,P010,Pharmacy,25,459,79,No,No,Rainy,Yes,762,2,2025,1,7,1,0
2025-01-08,Store_3,P001,Pharmacy,104,410,669,No,Yes,Rainy,No,507,6,2025,1,8,2,0
2025-01-09,Store_3,P010,Beverage,33,430,58,Yes,No,Cloudy,Yes,549,14,2025,1,9,3,0
2025-01-10,Store_5,P009,Personal Care,47,348,559,Yes,Yes,Hot,Yes,92,1,2025,1,10,4,0
2025-01-11,Store_4,P006,Pharmacy,66,14,68,No,Yes,Hot,No,948,11,2025,1,11,5,1
2025-01-12,Store_3,P003,Beverage,257,66,439,Yes,Yes,Cloudy,No,947,13,2025,1,12,6,1
2025-01-13,Store_5,P008,Beverage,123,421,656,No,No,Cloudy,Yes,720,1,2025,1,13,0,0
2025-01-14,Store_2,P009,Beverage,43,446,32,Yes,Yes,Sunny,No,969,5,2025,1,14,1,0
2025-01-15,Store_4,P006,Pharmacy,61,78,55,No,No,Sunny,No,36,10,2025,1,15,2,0
2025-01-16,Store_2,P007,Personal Care,287,127,120,No,Yes,Rainy,Yes,550,13,2025,1,16,3,0
2025-01-17,Store_4,P001,Grocery,282,385,813,No,No,Rainy,No,750,11,2025,1,17,4,0
2025-01-18,Store_5,P005,Beverage,278,68,105,No,No,Rainy,Yes,345,9,2025,1,18,5,1
